,english_premise,english_hypothesis,english_label
184,uh but you could fill a whole bunch of uh holes with these things i used to i used to advertise buying wheat pennies um i'd give a dollar a roll which two cents a piece which is basically overpriced,I used to try to sell wheat pennies.,2
185,"Penrith and Blencathra are also Celtic names, established during this early period of settlement.",Penrith and Blencathra are names which go back to ancient Rome.,2
186,"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414.",The administrator shall reduce allowance for each unit. ,0
187,"As a result, their services may be more effective when conducted in the emergency department environment.",Their services might be more effective if they're done in the ED.,0
188,evaluation questions.,There are evaluation questions on the topic.,1
189,"Therefore, many leading finance organizations have calculated and compared these percentages as a general indication of how well they supported the organization's business objectives.",Finance organization calculated data about every other organization.,1
190,"Previously, at the request of the Republican Ranking Minority Member of the House Committee on Government Operations, GAO reviewed activities of President Clintonas Task Force on Health Care Reform and was provided with an extensive listing of working group participants drawn from the government and from outside organizations.",The GAO have reviewed the activities of President Clinton's Task Force.,0
191,"She, in turn, was worshipped by her subjects as a living god.","As a result, she was revered by her subjects as a living deity: one among many.",1
192,The air is warm.,The frigid air caught them all by surprise.,2
193,Among the disadvantages are that the degree of innovation and product differentiation might continue to be limited.,Limited innovation is not going to be an advantage. ,0
194,Treat yourself and bill it to Si.,Spend as much as you like and bill it to Si.,1
195,i think that yeah i think and i i think that's real important,"""I truly believe that that's really important for us to know.""",1
196,An important part of U.S. diplomacy is getting sovereign states to work together voluntarily.,It's not important for states to work together.,2
197,CHAPTER 6: HUMAN CAPITAL,"Capital is money, not people.",2
198,The rise of the British Empire in India had begun.,It started the rise of the German Empire in India.,2
199,but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in,These men filed their midterm exams from home. ,2
200,Sarawak pottery is ochre-colored with bold geometric designs.,Sarawak pottery has been around for a long time.,1
201,"I ordered Better Sexual Techniques , Advanced Sexual Techniques , Making Sex Fun , and Advanced Oral Sex Techniques (priced about $11.",The orders I made were not being offered for free.,0
202,Benchmarked by U.S.,Benchmark in America.,0
203,The truth?,Will you tell the truth?,1
204,it sure will well good to talk to,Let's talk again soon.,1
205,because like Tech is known to be a good engineering school and A and M maybe is known more for computers,A and M's computer department isn't very well regarded.,2
206,The celebrity-obsessed magazine surpasses itself in the post-Oscar issue.,The magazine is not interested in celebrities.,2
207,Tommy felt his ascendancy less sure than a moment before.,Tommy was getting less certain about his ascendancy.,0
208,"Whether you drink beer or alcohol or not, a trip to Dublin isn't complete without a visit to some of its pubs don't miss this experience.","If you don't drink, don't bother visiting the pubs in London.",2
209,"But although the 60 Minutes producer is played by the star (Pacino grandstands, but not to the point of distraction), Bergman's story doesn't have the same primal force.",The producer is played by Harrison Ford.,2
210,I never said you were a mandrake-man.,I never once said or implied you were a mandrake.,0
211,down here it's been it's everybody's got colds and everything because it's cold one day and hot the next day,The colds are directly related to the temperature change.  ,0
212,i don't know what kind of a summer we're expecting this year i imagine it's going to be hot again,"I work in the weather station, so I know all about the predictions for the weather this summer.",2
213,"The central section of Tinos has little of interest, but make your way over the hills to the pretty village of Pyrgos, famed for its school of marble carving.",Not very many tourists visit the central section of Tinos.,1
214,"Unless the report is restricted by law or regulation, auditors should ensure that copies be made available for public inspection.",This report is most likely restricted by law or regulation and should not be ensured.,1
215,"The next year, he was expelled from Rand as a security risk after local police caught him engaging in a lewd act in a public men's room near Muscle Beach.",They expelled him from Rand because he commited a crime,0
216,I was to watch for an advertisement in the Times.,I was anticipating an ad for cigars in the newspaper. ,1
217,"Unsurprisingly, golfing is prohibitively expensive.",Golf is a cheap past time so lots of people do it.,2
218,The final reason for the teen renaissance is boomer self-obsession.,There are 15 key reasons for the teen renaissance we are seeing.,1
219,uh well i figured if i had it done in the garage at the Toyota dealer i would be looking at probably three or four hundred dollars,The cost at the dealer's garage is twice as much as what I paid.,1
220,"Part 2), Confidentiality of Alcohol and Drug Abuse Patient Records.",Drug and alcohol rehab records are to be kept confidential,0
221,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.",More than a million people gathered to celebrate mass when Pope John Paul II visited in 1979.,0
222,well they're so close to an undefeated undefeated season they can taste it and they wanna make history so i don't think they're gonna lack for motivation,"They're close to winning the season, so they won't have any issues with motivation.",0
223,trying to keep grass alive during a summer on a piece of ground that big was expensive,There was no cost in keeping the grass alive in the summer time.,2
224,They managed to control much of the country for nearly a century before the Muslim leader Saladin (Salah-ad-Din) defeated them in 1187.,"They controlled the entire country, even when Saladin failed to attack them in 1187.",2
225,His grandson Akbar chose Agra for his capital over Delhi.,The choice of Agra over Delhi came down to one having better food than the other does.,1
226,The information provided in this guide is current as of the date of this publication.,The information in the guide is up-to-date.,0
227,"If anything, ultimate fighting is safer and less cruel than America's blood sport.",Nothing is a dangerous as ultimate fighting. ,2
228,Jon saw him ride into the smoke.,He rode towards Jon and out of the smoke.,2
229,someone else noticed it and i said well i guess that's true and it was somewhat melodio us in other words it wasn't just you know it was really funny,Someone else paid attention to it and it was really funny. ,0
230,"In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.",Scientists gave animals irradiated chicken and they all lived as long as the rest of them.,0
231,"When Jesus was born in about 4 b.c. , Joseph and Mary escaped Herod's paranoia by fleeing into Egypt with the new-born infant.",Jesus' birth has been dated to around 10 B.C.,2
232,"And, could it not result in a decline in Postal Service volumes across--the--board?",Nothing will affect Postal Service volumes across--the--board.,2
233, Folklore of Ibiza,War history of Ibiza,2
234,Chatterbox queried Trudeau about the Dallas Morning News quote.,Trudeau was queried by Chatterbox about his quote.,0
235,There are two challengers to these top dogs.,These top dogs face two tough financial challenges.,1
236,"ran toward us rather slowly, like people finishing their run.",They ran slowly because they were tired from working out a lot.,1
237,i've been getting a kick out of those lately,I guess they just don't like me. ,2
238,"You've got the keys still, haven't you, Poirot? I asked, as we reached the door of the locked room. ",I had the keys in my pocket.,1
239,Puppet Shows.,Productions using puppets,0
240,"Even today, Yanomamo men raid villages, kill men, and abduct women for procreative purposes.",Yanomamo eats food.,1
241,"It is housed in a Martello A series of such towers, some 12 m (40 ft) high and 2.5 m (8 ft) thick, were constructed along the coast at the beginning of the 19th century to guard against invasion by Napoleon.","A number of these towers, which were built to guard against invasion by Napoleon, were built along the coast in the 19th century.",0
242,um i've visited the Wyoming area i'm not sure exactly where Dances with Wolves was filmed,I've only visited the area in the spring.,1
243,"13 Executive  Effectively Implementing the Government Performance and Results Act ( GAO/GGD-96-118, June 1996).",The executives didn't implement the government performance and results act,2
244,Information  Computer Attacks at Department of Defense Pose Increasing Risks,The computer attacks on the Department of Defense are too powerful to handle.,1
245,Daniel took it upon himself to explain a few things.,Daniel explained what was happening.,0
